"","x"
"480","4933433G19Rik"
"481","4933433H22Rik"
"482","4933434E20Rik"
"483","4933437G19Rik"
"484","4933439C10Rik"
"485","4933439K11Rik"
"486","4933440N22Rik"
"487","5031415H12Rik"
"488","5031425E22Rik"
"489","5031425F14Rik"
"490","5031434O11Rik"
"491","5031439G07Rik"
"492","5033406O09Rik"
"493","5033417F24Rik"
"494","5033421B08Rik"
"495","5033430I15Rik"
"496","5330406M23Rik"
"497","5330438D12Rik"
"498","5430400D12Rik"
"499","5430402O13Rik"
"500","5430403G16Rik"
"501","5430405H02Rik"
"502","5430414B19Rik"
"503","5430416N02Rik"
"504","5430427O19Rik"
"505","5430430B14Rik"
"506","5430430K15Rik"
"507","5430431A17Rik"
"508","5430434F05Rik"
"509","5430437J10Rik"
"510","5530601H04Rik"
"511","5730405O15Rik"
"512","5730409E04Rik"
"513","5730414N17Rik"
"514","5730455P16Rik"
"515","5730480H06Rik"
"516","5730507A11Rik"
"517","5730521K06Rik"
"518","5830408C22Rik"
"519","5830415G21Rik"
"520","5830416I19Rik"
"521","5830417I10Rik"
"522","5830432E09Rik"
"523","5830444B04Rik"
"524","5830448L01Rik"
"525","5830454E08Rik"
"526","5830462I19Rik"
"527","5830462O15Rik"
"528","5930403N24Rik"
"529","5930420M18Rik"
"530","5930430L01Rik"
"531","6030400A10Rik"
"532","6030442K20Rik"
"533","6030443J06Rik"
"534","6030445D17Rik"
"535","6030458C11Rik"
"536","6230400D17Rik"
"537","6330403L08Rik"
"538","6330408M09Rik"
"539","6330409D20Rik"
"540","6330415G19Rik"
"541","6330418K02Rik"
"542","6330537M06Rik"
"543","6330549D23Rik"
"544","6330562C20Rik"
"545","6430511E19Rik"
"546","6430548M08Rik"
"547","6430550D23Rik"
"548","6430562O15Rik"
"549","6430571L13Rik"
"550","6430573P05Rik"
"551","6430590A07Rik"
"552","6430710M23Rik"
"553","6530402F18Rik"
"554","6530403H02Rik"
"555","6530409C15Rik"
"556","6720427I07Rik"
"557","6720489N17Rik"
"558","6820402A03Rik"
"559","6820431F20Rik"
"560","7330423F06Rik"
"561","8030451A03Rik"
"562","8030453O22Rik"
"563","8030456M14Rik"
"564","8030462N17Rik"
"565","8030474K03Rik"
"566","8430406P12Rik"
"567","8430422M14Rik"
"568","8430423G03Rik"
"569","8430429K09Rik"
"570","8430432A02Rik"
"571","9030025P20Rik"
"572","9030407P20Rik"
"573","9030624G23Rik"
"574","9130002K18Rik"
"575","9130008F23Rik"
"576","9130016M20Rik"
"577","9130019O22Rik"
"578","9130019P16Rik"
"579","9130023H24Rik"
"580","9130024F11Rik"
"581","9130208D14Rik"
"582","9130213A22Rik"
"583","9130221H12Rik"
"584","9130230L23Rik"
"585","9130230N09Rik"
"586","9130401M01Rik"
"587","9130604C24Rik"
"588","9230109A22Rik"
"589","9230111E07Rik"
"590","9230112E08Rik"
"591","9230114K14Rik"
"592","9230116L04Rik"
"593","9230116N13Rik"
"594","9330020H09Rik"
"595","9330102E08Rik"
"596","9330104G04Rik"
"597","9330136K24Rik"
"598","9330151L19Rik"
"599","9330154J02Rik"
"600","9330159M07Rik"
"601","9330160F10Rik"
"602","9330161L09Rik"
"603","9330162G02Rik"
"604","9330175E14Rik"
"605","9330179D12Rik"
"606","9330182L06Rik"
"607","9430002A10Rik"
"608","9430015G10Rik"
"609","9430025C20Rik"
"610","9430034N14Rik"
"611","9430037G07Rik"
"612","9430037O13Rik"
"613","9430038I01Rik"
"614","9430053O09Rik"
"615","9430060I03Rik"
"616","9430064I24Rik"
"617","9430081H08Rik"
"618","9430091E24Rik"
"619","9530018F02Rik"
"620","9530050K03Rik"
"621","9530052C20Rik"
"622","9530056E24Rik"
"623","9530056K15Rik"
"624","9530062K07Rik"
"625","9530068E07Rik"
"626","9530077C05Rik"
"627","9530082P21Rik"
"628","9530085L11Rik"
"629","9630010A21Rik"
"630","9630013D21Rik"
"631","9630013K17Rik"
"632","9630028I04Rik"
"633","9830107B12Rik"
"634","9830144P21Rik"
"635","9930004E17Rik"
"636","9930012K11Rik"
"637","9930014A18Rik"
"638","9930017N22Rik"
"639","9930021J03Rik"
"640","9930022D16Rik"
"641","9930104L06Rik"
"642","9930111J21Rik1"
"643","9930111J21Rik2"
"644","9930120I10Rik"
"645","a"
"646","A030001D20Rik"
"647","A030005L19Rik"
"648","A130006I12Rik"
"649","A130010J15Rik"
"650","A130012E19Rik"
"651","A130014A01Rik"
"652","A130050O07Rik"
"653","A130051J06Rik"
"654","A130071D04Rik"
"655","A130077B15Rik"
"656","A1cf"
"657","A230005M16Rik"
"658","A230020J21Rik"
"659","A230028O05Rik"
"660","A230056P14Rik"
"661","A230060F14Rik"
"662","A230072C01Rik"
"663","A230072E10Rik"
"664","A230083G16Rik"
"665","A230103J11Rik"
"666","A230107N01Rik"
"667","A330023F24Rik"
"668","A330035P11Rik"
"669","A330040F15Rik"
"670","A330074K22Rik"
"671","A330084C13Rik"
"672","A3galt2"
"673","A430005L14Rik"
"674","A430018G15Rik"
"675","A430019L02Rik"
"676","A430027C01Rik"
"677","A430033K04Rik"
"678","A430035B10Rik"
"679","A430057M04Rik"
"680","A430072P03Rik"
"681","A430073D23Rik"
"682","A430088P11Rik"
"683","A430093F15Rik"
"684","A430103D13Rik"
"685","A430105J06Rik"
"686","A430108G06Rik"
"687","A430110C17Rik"
"688","A430110L20Rik"
"689","A4galt"
"690","A530010L16Rik"
"691","A530013C23Rik"
"692","A530017D24Rik"
"693","A530032D15Rik"
"694","A530040E14Rik"
"695","A530041M06Rik"
"696","A530046M15Rik"
"697","A530064D06Rik"
"698","A530072M11Rik"
"699","A530088E08Rik"
"700","A630001G21Rik"
"701","A630001O12Rik"
"702","A630012P03Rik"
"703","A630035G10Rik"
"704","A630052C17Rik"
"705","A630072M18Rik"
"706","A630081D01Rik"
"707","A630089N07Rik"
"708","A730011C13Rik"
"709","A730017L22Rik"
"710","A730061H03Rik"
"711","A730063M14Rik"
"712","A730081D07Rik"
"713","A830005F24Rik"
"714","A830012C17Rik"
"715","A830035O19Rik"
"716","A830052D11Rik"
"717","A830082N09Rik"
"718","A930001M01Rik"
"719","A930002H24Rik"
"720","A930004D18Rik"
"721","A930004J17Rik"
"722","A930005H10Rik"
"723","A930006K02Rik"
"724","A930007A09Rik"
"725","A930007I19Rik"
"726","A930012O16Rik"
"727","A930015D03Rik"
"728","A930019D19Rik"
"729","A930024E05Rik"
"730","A930029G22Rik"
"731","A930033H14Rik"
"732","A930035D04Rik"
"733","A930037H05Rik"
"734","AA386476"
"735","AA388235"
"736","AA413626"
"737","AA414768"
"738","AA465934"
"739","AA467197"
"740","AA474408"
"741","AA914427"
"742","AA986860"
"743","Aaas"
"744","Aacs"
"745","Aagab"
"746","Aak1"
"747","Aamdc"
"748","Aamp"
"749","Aanat"
"750","Aar2"
"751","Aars"
"752","Aars2"
"753","Aarsd1"
"754","Aasdh"
"755","Aasdhppt"
"756","Aatf"
"757","Aatk"
"758","AB124611"
"759","Abca1"
"760","Abca13"
"761","Abca17"
"762","Abca2"
"763","Abca3"
"764","Abca5"
"765","Abca6"
"766","Abca7"
"767","Abca8a"
"768","Abca8b"
"769","Abca9"
"770","Abcb10"
"771","Abcb1a"
"772","Abcb1b"
"773","Abcb4"
"774","Abcb6"
"775","Abcb7"
"776","Abcb8"
"777","Abcb9"
"778","Abcc1"
"779","Abcc10"
"780","Abcc2"
"781","Abcc3"
"782","Abcc4"
"783","Abcc5"
"784","Abcd1"
"785","Abcd2"
"786","Abcd3"
"787","Abcd4"
"788","Abce1"
"789","Abcf1"
"790","Abcf2"
"791","Abcf3"
"792","Abcg1"
"793","Abcg2"
"794","Abcg3"
"795","Abcg4"
"796","Abhd1"
"797","Abhd10"
"798","Abhd11"
"799","Abhd11os"
"800","Abhd12"
"801","Abhd13"
"802","Abhd14a"
"803","Abhd14b"
"804","Abhd15"
"805","Abhd16a"
"806","Abhd16b"
"807","Abhd17a"
"808","Abhd17b"
"809","Abhd17c"
"810","Abhd18"
"811","Abhd2"
"812","Abhd3"
"813","Abhd4"
"814","Abhd5"
"815","Abhd6"
"816","Abhd8"
"817","Abi1"
"818","Abi2"
"819","Abi3"
"820","Abi3bp"
"821","Abitram"
"822","Abl1"
"823","Abl2"
"824","Ablim1"
"825","Ablim2"
"826","Abr"
"827","Abracl"
"828","Abraxas1"
"829","Abraxas2"
"830","Abt1"
"831","Abtb1"
"832","Abtb2"
"833","AC099860.1"
"834","AC113595.1"
"835","AC115752.1"
"836","AC123856.1"
"837","AC124742.1"
"838","AC125149.1"
"839","AC125149.2"
"840","AC125149.3"
"841","AC125149.4"
"842","AC125149.5"
"843","AC132288.1"
"844","AC132444.1"
"845","AC132444.2"
"846","AC132444.3"
"847","AC132444.4"
"848","AC132444.5"
"849","AC133103.1"
"850","AC133103.2"
"851","AC133103.3"
"852","AC133103.4"
"853","AC133103.5"
"854","AC133103.6"
"855","AC133103.7"
"856","AC139347.1"
"857","AC139579.1"
"858","AC140267.1"
"859","AC142112.1"
"860","AC147806.1"
"861","AC147806.2"
"862","AC147806.3"
"863","AC149090.1"
"864","AC150312.1"
"865","AC154013.1"
"866","AC154200.1"
"867","AC158912.1"
"868","AC159819.1"
"869","AC160138.1"
"870","AC160336.1"
"871","AC161757.1"
"872","AC166256.1"
"873","AC167036.1"
"874","AC167036.2"
"875","AC168977.1"
"876","AC168977.2"
"877","AC169509.1"
"878","AC241534.1"
"879","Acaa1a"
"880","Acaa1b"
"881","Acaa2"
"882","Acaca"
"883","Acacb"
"884","Acad10"
"885","Acad11"
"886","Acad12"
"887","Acad8"
"888","Acad9"
"889","Acadl"
"890","Acadm"
"891","Acads"
"892","Acadsb"
"893","Acadvl"
"894","Acap1"
"895","Acap2"
"896","Acap3"
"897","Acat1"
"898","Acat2"
"899","Acat3"
"900","Acbd3"
"901","Acbd4"
"902","Acbd5"
"903","Acbd6"
"904","Accs"
"905","Accsl"
"906","Acd"
"907","Ace"
"908","Acer2"
"909","Acer3"
"910","Ache"
"911","Acin1"
"912","Ackr4"
"913","Acly"
"914","Aco1"
"915","Aco2"
"916","Acod1"
"917","Acot1"
"918","Acot10"
"919","Acot11"
"920","Acot13"
"921","Acot2"
"922","Acot4"
"923","Acot6"
"924","Acot7"
"925","Acot8"
"926","Acot9"
"927","Acox1"
"928","Acox3"
"929","Acoxl"
"930","Acp1"
"931","Acp2"
"932","Acp5"
"933","Acp6"
"934","Acpp"
"935","Acrbp"
"936","Acsbg1"
"937","Acsbg3"
"938","Acsf2"
"939","Acsf3"
"940","Acsl1"
"941","Acsl3"
"942","Acsl4"
"943","Acsl5"
"944","Acsm3"
"945","Acss1"
"946","Acss2"
"947","Acta2"
"948","Actb"
"949","Actb-ps1"
"950","Actg-ps1"
"951","Actg1"
"952","Actg2"
"953","Actl6a"
"954","Actn1"
"955","Actn3"
"956","Actn4"
"957","Actr10"
"958","Actr1a"
"959","Actr1b"
"960","Actr2"
"961","Actr3"
"962","Actr3-ps"
"963","Actr3b"
"964","Actr5"
"965","Actr6"
"966","Actr8"
"967","Acvr1"
"968","Acvr1b"
"969","Acvr2a"
"970","Acvr2b"
"971","Acvrl1"
"972","Acy1"
"973","Acy3"
"974","Acyp1"
"975","Acyp2"
"976","Ada"
"977","Adal"
"978","Adam10"
"979","Adam11"
"980","Adam12"
"981","Adam15"
"982","Adam17"
"983","Adam19"
"984","Adam1a"
"985","Adam1b"
"986","Adam21"
"987","Adam22"
"988","Adam3"
"989","Adam32"
"990","Adam33"
"991","Adam4"
"992","Adam8"
"993","Adam9"
"994","Adamts1"
"995","Adamts10"
"996","Adamts13"
"997","Adamts14"
"998","Adamts2"
"999","Adamts3"
"1000","Adamts4"
"1001","Adamts6"
"1002","Adamts7"
"1003","Adamts8"
"1004","Adamtsl4"
"1005","Adamtsl5"
"1006","Adap1"
"1007","Adap2"
"1008","Adap2os"
"1009","Adar"
"1010","Adarb1"
"1011","Adarb2"
"1012","Adat1"
"1013","Adat2"
"1014","Adat3"
"1015","Adck1"
"1016","Adck2"
"1017","Adck5"
"1018","Adcy2"
"1019","Adcy3"
"1020","Adcy4"
"1021","Adcy5"
"1022","Adcy6"
"1023","Adcy7"
"1024","Adcy9"
"1025","Add1"
"1026","Add3"
"1027","Adgb"
"1028","Adgra2"
"1029","Adgra3"
"1030","Adgrb1"
"1031","Adgre1"
"1032","Adgre4"
"1033","Adgre5"
"1034","Adgrf1"
"1035","Adgrf5"
"1036","Adgrg1"
"1037","Adgrg3"
"1038","Adgrg6"
"1039","Adgrg7"
"1040","Adgrl1"
"1041","Adgrl2"
"1042","Adgrl3"
"1043","Adgrl4"
"1044","Adgrv1"
"1045","Adh5"
"1046","Adhfe1"
"1047","Adi1"
"1048","Adipor1"
"1049","Adipor2"
"1050","Adk"
"1051","Adm"
"1052","Adnp"
"1053","Adnp2"
"1054","Ado"
"1055","Adora2a"
"1056","Adora2b"
"1057","Adora3"
"1058","Adpgk"
"1059","Adprh"
"1060","Adprhl1"
"1061","Adprhl2"
"1062","Adprm"
"1063","Adra1a"
"1064","Adra2a"
"1065","Adrb1"
"1066","Adrb2"
"1067","Adrm1"
"1068","Adsl"
"1069","Adss"
"1070","Adssl1"
"1071","Aebp1"
"1072","Aebp2"
"1073","Aen"
"1074","AF357399"
"1075","Afap1"
"1076","Afap1l1"
"1077","Afap1l2"
"1078","Afdn"
"1079","Aff1"
"1080","Aff2"
"1081","Aff3"
"1082","Aff4"
"1083","Afg1l"
"1084","Afg3l1"
"1085","Afg3l2"
"1086","Afmid"
"1087","Afp"
"1088","Aftph"
"1089","Aga"
"1090","Agap1"
"1091","Agap2"
"1092","Agap3"
"1093","Agbl3"
"1094","Agbl4"
"1095","Agbl5"
"1096","Ager"
"1097","Agfg1"
"1098","Agfg2"
"1099","Aggf1"
"1100","Agk"
"1101","Agl"
"1102","Agmo"
"1103","Ago1"
"1104","Ago2"
"1105","Ago3"
"1106","Ago4"
"1107","Agpat1"
"1108","Agpat2"
"1109","Agpat3"
"1110","Agpat4"
"1111","Agpat5"
"1112","Agps"
"1113","Agrn"
"1114","Agrp"
"1115","Agtpbp1"
"1116","Agtrap"
"1117","Ahctf1"
"1118","Ahcy"
"1119","Ahcyl1"
"1120","Ahcyl2"
"1121","Ahdc1"
"1122","Ahi1"
"1123","Ahnak"
"1124","Ahnak2"
"1125","Ahr"
"1126","Ahrr"
"1127","Ahsa1"
"1128","Ahsa2"
"1129","AI182371"
"1130","AI413582"
"1131","AI427809"
"1132","AI429214"
"1133","AI467606"
"1134","AI480526"
"1135","AI504432"
"1136","AI506816"
"1137","AI597479"
"1138","AI606473"
"1139","AI661453"
"1140","AI662270"
"1141","AI837181"
"1142","AI839979"
"1143","AI847159"
"1144","AI854703"
"1145","AI987944"
"1146","Aicda"
"1147","Aida"
"1148","Aif1"
"1149","Aifm1"
"1150","Aifm2"
"1151","Aig1"
"1152","Aim2"
"1153","Aimp1"
"1154","Aimp2"
"1155","Aip"
"1156","Aipl1"
"1157","Airn"
"1158","Ajm1"
"1159","Ajuba"
"1160","Ak1"
"1161","AK157302"
"1162","Ak2"
"1163","Ak3"
"1164","Ak3l2-ps"
"1165","Ak4"
"1166","Ak5"
"1167","Ak6"
"1168","Ak8"
"1169","Akap1"
"1170","Akap10"
"1171","Akap11"
"1172","Akap12"
"1173","Akap13"
