"","x"
"788","Dusp4"
"789","Dusp5"
"790","Dusp8"
"791","Dync1h1"
"792","Dync1i2"
"793","Dynll1"
"794","Dynlt3"
"795","Dyrk2"
"796","E2f5"
"797","Eaf1"
"798","Eapp"
"799","Ebi3"
"800","Ebna1bp2"
"801","Ecm1"
"802","Ecpas"
"803","Edem2"
"804","Edf1"
"805","Edn1"
"806","Ednra"
"807","Eef1akmt4"
"808","Eef1e1"
"809","Efcab14"
"810","Efcab2"
"811","Efhd2"
"812","Efna3"
"813","Egln3"
"814","Egr1"
"815","Ehd1"
"816","Ehd2"
"817","Eid3"
"818","Eif1"
"819","Eif1a"
"820","Eif2ak2"
"821","Eif2s1"
"822","Eif2s2"
"823","Eif3j1"
"824","Eif3j2"
"825","Eif4e2"
"826","Eif4g2"
"827","Eif5b"
"828","Eif6"
"829","Eipr1"
"830","Elavl1"
"831","Elf4"
"832","Elk3"
"833","Ell2"
"834","Elmod2"
"835","Eloa"
"836","Eloc"
"837","Elovl2"
"838","Elp5"
"839","Emc4"
"840","Emc7"
"841","Emilin2"
"842","Eml1"
"843","Eml2"
"844","Eml4"
"845","Enah"
"846","Endod1"
"847","Eng"
"848","Eno1"
"849","Eno1b"
"850","Enpp2"
"851","Enpp4"
"852","Ensa"
"853","Entr1"
"854","Ep400"
"855","Epb41l1"
"856","Epb41l2"
"857","Epb41l3"
"858","Epb41l4b"
"859","Epha4"
"860","Epsti1"
"861","Ercc6l2"
"862","Ereg"
"863","Ergic2"
"864","Erich2"
"865","Erich2os"
"866","Erlec1"
"867","Ermap"
"868","Ero1l"
"869","Erp44"
"870","Errfi1"
"871","Esd"
"872","Esd-ps"
"873","Esf1"
"874","Esrra"
"875","Etf1"
"876","Etfrf1"
"877","Etnk1"
"878","Etnk2"
"879","Ets2"
"880","Etv3"
"881","Etv6"
"882","Eva1b"
"883","Evi2a"
"884","Evl"
"885","Exoc1"
"886","Exoc3l4"
"887","Ext1"
"888","Extl3"
"889","Ezr"
"890","F10"
"891","F11r"
"892","F3"
"893","F8"
"894","Fabp3"
"895","Fabp3-ps1"
"896","Fabp4"
"897","Fabp7"
"898","Faf2"
"899","Faim"
"900","Fam102b"
"901","Fam114a1"
"902","Fam122a"
"903","Fam129b"
"904","Fam133b"
"905","Fam177a"
"906","Fam177a2"
"907","Fam192a"
"908","Fam20a"
"909","Fam20b"
"910","Fam214b"
"911","Fam241a"
"912","Fam49a"
"913","Fam53c"
