"","x"
"591","Skil"
"592","Gm15283"
"593","Fgr"
"594","Sntg1"
"595","Ccr3"
"596","AC133103.7"
"597","Pilrb1"
"598","Trib1"
"599","Gem"
"600","Ms4a8a"
"601","Dnmt3c"
"602","Kcna3"
"603","Il4ra"
"604","Col5a2"
"605","Slamf6"
"606","Trex1"
"607","Cflar"
"608","Ddx58"
"609","Boc"
"610","Ms4a4b"
"611","Vcam1"
"612","Morrbid"
"613","Pgf"
"614","Rapgef2"
"615","Gm12058"
"616","Zfp36"
"617","Zc3h12a"
"618","Calhm6"
"619","Mlkl"
"620","Irgm2"
"621","Ms4a4a"
"622","Arsi"
"623","Parp10"
"624","Irgm1"
"625","Xaf1"
"626","Car13"
"627","Timp3"
"628","Mreg"
"629","Slc15a3"
"630","Gm15478"
"631","Clic5"
"632","Gm13657"
"633","Adgb"
"634","Gm10634"
"635","Cntnap3"
"636","Prdx5"
"637","BC147527"
"638","Insyn2b"
"639","a"
"640","Car3"
"641","Ddit3"
"642","Ttc39b"
"643","Fndc3a"
"644","F11r"
"645","Spata13"
"646","Exoc3l4"
"647","Gja1"
"648","Rnf213"
"649","Tmem67"
"650","Cd55"
"651","Samsn1"
"652","Daxx"
"653","Gm10134"
"654","Sdc1"
"655","Parp14"
"656","Samd9l"
"657","Fabp3-ps1"
"658","Oasl2"
"659","Sh3d21"
"660","Kif1a"
"661","Mfsd7a"
"662","Sipa1l1"
"663","Serpinh1"
"664","Siglece"
"665","Nupr1"
"666","Gadd45b"
"667","Marchf1"
"668","Ptpn13"
"669","Slc22a28"
"670","Prn"
"671","Plekhg4"
"672","Lrmda"
"673","Gm10552"
"674","Ssc5d"
"675","Cysltr2"
"676","Unc45b"
"677","Dll4"
"678","Gch1"
"679","AC133103.1"
"680","Snord89"
"681","Zmynd15"
"682","Fam241a"
"683","Tmem26"
"684","Bgn"
"685","N4bp1"
"686","Mmp2"
"687","Plod2"
"688","Plaur"
"689","Gfi1"
"690","Ppm1n"
"691","AI606473"
"692","Junb"
"693","Rnf121"
"694","Dtx3l"
"695","Peli1"
"696","Glrx"
"697","Nudt17"
"698","Lysmd2"
"699","Pdcd5-ps"
"700","Dok7"
"701","Srgap1"
"702","Bmp1"
"703","Kdelr3"
"704","Tap1"
"705","Stat2"
"706","Slc31a2"
"707","Nfkb2"
"708","Msr1"
"709","Pnp"
"710","Atp10a"
"711","Bcl3"
"712","Zup1"
"713","Oas1g"
"714","Dnase1l3"
"715","Pkp1"
"716","Nmi"
"717","Acsl1"
"718","Tcf7"
"719","Oas3"
"720","Mfap3l"
"721","Snn"
"722","Samhd1"
"723","Tex14"
"724","Aqp9"
"725","Nap1l5"
"726","Fcgr2b"
"727","Kdr"
"728","Ltbp2"
"729","Pla2g5"
"730","Sparc"
"731","Fosl2"
"732","Col27a1"
"733","A1cf"
"734","Setdb2"
"735","Slfn2"
"736","Flrt2"
"737","Sh3d19"
"738","Timd4"
"739","Cpd"
"740","Gm12216"
"741","Stat1"
"742","Amotl2"
"743","Txn-ps1"
"744","Znfx1"
"745","Col1a2"
"746","Pstpip2"
"747","Zfp366"
"748","AC133103.6"
"749","C1rb"
"750","Rnf183"
"751","AC132444.4"
"752","Dst"
"753","Ramp3"
"754","Fam83c"
"755","AC168977.2"
"756","Bcl2a1b"
"757","Itga5"
"758","Esd-ps"
"759","Wfdc17"
"760","Trim30a"
"761","Slc25a22"
"762","Gm11496"
"763","Nlrc5"
"764","Birc3"
"765","Rbpms"
"766","Carmil1"
"767","Tor3a"
"768","Slc13a3"
"769","Snx10"
"770","AC132444.2"
"771","Muc1"
"772","Popdc2"
"773","Dnmt3l"
"774","Mdm2"
"775","Nt5e"
"776","C1ra"
"777","Mt2"
"778","Osm"
"779","Arid5a"
"780","Magohb"
"781","Alas1"
"782","Gm13810"
"783","Mthfr"
"784","Cxcl16"
"785","Parp12"
"786","Cers6"
"787","Smad6"
"788","Malt1"
"789","Trim34b"
"790","Sp110"
"791","Batf"
"792","Gm15337"
"793","Serpinb9b"
"794","Bmper"
"795","Rilpl1"
"796","Rnf19b"
"797","Wwtr1"
"798","Tnip3"
"799","P4ha1"
"800","Pilrb2"
"801","Col1a1"
"802","Apon"
"803","Gm14636"
"804","Sptbn2"
"805","Ctla2b"
"806","Irak2"
"807","AL607142.1"
"808","Sh2d6"
"809","Pla2g7"
"810","mt-Nd6"
"811","Il7"
"812","Spint1"
"813","Tnip1"
"814","Lrp11"
"815","Srcin1"
"816","Dhx58"
"817","Gm12915"
"818","Zfp462"
"819","Serpinb1b"
"820","Efna3"
"821","Slc2a1"
"822","Lck"
"823","Chpf"
"824","Gm12403"
"825","Foxf1"
"826","Casp1"
"827","Ppm1k"
"828","Ptger2"
"829","Socs2"
"830","Ly75"
"831","Samd11"
"832","Oas1b"
"833","Srgn"
"834","Lacc1"
"835","Rab20"
"836","Gbp8"
"837","Parp9"
"838","Tmigd3"
"839","Kdm7a"
"840","Arhgef3"
"841","Marcksl1"
"842","Ltbp1"
"843","AC168977.1"
"844","Bst2"
"845","Ankrd33b"
"846","Lztfl1"
"847","Rmdn3"
"848","Insyn2a"
"849","Acp5"
"850","Gm14023"
"851","AC132444.3"
"852","AC125149.2"
"853","Ppp1r12b"
"854","Irf1"
"855","Cebpb"
"856","Plekha4"
"857","AC125149.4"
"858","Ppfia3"
"859","Pou2f2"
"860","Mitd1"
"861","Noct"
"862","Mir6972"
"863","Tnfsf8"
"864","Clmp"
"865","AC125149.5"
"866","Flt4"
"867","Zhx2"
"868","Mier3"
"869","Plpp1"
"870","Gatm"
"871","Atf3"
"872","Gm11874"
"873","Prpf38a"
"874","Slc15a5"
"875","Epsti1"
"876","Trim21"
"877","Gm13889"
"878","Irak3"
"879","Ntng2"
"880","C1rl"
"881","Oas1a"
"882","Plaat3"
"883","Mrpl53"
"884","Clic4"
"885","Gm10254"
"886","Cemip2"
"887","Slx4ip"
"888","Ms4a6c"
"889","Naa25"
"890","Mab21l3"
"891","Gfra1"
"892","Sp100"
"893","Col9a3"
"894","Kremen1"
"895","Rnf149"
"896","Trp53i11"
"897","Themis2"
"898","Fam102b"
"899","Wwc1"
"900","Slc26a9"
"901","Vegfa"
"902","Abhd16b"
"903","Smpdl3b"
"904","Plekha6"
"905","CAAA01098150.1"
"906","Resf1"
"907","Angptl3"
"908","Fabp3"
"909","Nap1l2"
"910","Cplx2"
"911","Tlr2"
"912","Gm12589"
"913","Dpy19l3"
"914","Chst11"
"915","Fos"
"916","Rhov"
"917","Col5a1"
"918","AC133103.4"
"919","Cxcl5"
"920","Ccn2"
"921","Csf2rb"
"922","Rtp4"
"923","Dusp16"
"924","Itgax"
"925","Tmcc3"
"926","Trim34a"
"927","Nabp1"
"928","Zfp536"
"929","Ripk2"
"930","Trafd1"
"931","Egr1"
"932","Whamm"
"933","Cdh11"
"934","Pdgfb"
"935","Kdm6b"
"936","Slc7a8"
"937","Sirpb1a"
"938","Ccr1"
"939","Oas2"
"940","Ccdc25"
"941","Ehd1"
"942","Ppfibp1"
"943","Lgals9"
"944","Gm15133"
"945","Gm11166"
"946","Tiparp"
"947","Fnbp1l"
"948","Ddc"
"949","Esd"
"950","Aff1"
"951","Rnf135"
"952","Usb1"
"953","Sirpb1c"
"954","Insl6"
"955","Capns2"
"956","Cxcr6"
"957","Tapbp"
