"","x"
"1034","Exoc6"
"1035","Exosc5"
"1036","Exosc7"
"1037","Exosc8"
"1038","Eya1"
"1039","Ezh2"
"1040","F2rl3"
"1041","F5"
"1042","F8a"
"1043","Faap100"
"1044","Faap20"
"1045","Fadd"
"1046","Fads1"
"1047","Fads2"
"1048","Fads3"
"1049","Fads6"
"1050","Fah"
"1051","Fahd1"
"1052","Fam102a"
"1053","Fam107b"
"1054","Fam110a"
"1055","Fam110b"
"1056","Fam117a"
"1057","Fam117b"
"1058","Fam120c"
"1059","Fam122b"
"1060","Fam135a"
"1061","Fam13a"
"1062","Fam149a"
"1063","Fam160a2"
"1064","Fam161a"
"1065","Fam167b"
"1066","Fam168b"
"1067","Fam169a"
"1068","Fam170b"
"1069","Fam171a1"
"1070","Fam173a"
"1071","Fam174a"
"1072","Fam174b"
"1073","Fam174c"
"1074","Fam187b"
"1075","Fam189b"
"1076","Fam193b"
"1077","Fam199x"
"1078","Fam210b"
"1079","Fam214a"
"1080","Fam219a"
"1081","Fam219b"
"1082","Fam222a"
"1083","Fam234a"
"1084","Fam234b"
"1085","Fam3c"
"1086","Fam53a"
"1087","Fam53b"
"1088","Fam76b"
"1089","Fam78a"
"1090","Fam78b"
"1091","Fam83d"
"1092","Fam83f"
"1093","Fam89b"
"1094","Fam92a"
"1095","Fam98c"
"1096","Fan1"
"1097","Fanca"
"1098","Fancb"
"1099","Fancd2"
"1100","Fance"
"1101","Fancf"
"1102","Fancg"
"1103","Fanci"
"1104","Fancl"
"1105","Fancm"
"1106","Farp2"
"1107","Fasn"
"1108","Fastkd3"
"1109","Fblim1"
"1110","Fbln5"
"1111","Fbxl16"
"1112","Fbxl17"
"1113","Fbxl2"
"1114","Fbxl20"
"1115","Fbxl4"
"1116","Fbxl6"
"1117","Fbxl8"
"1118","Fbxo10"
"1119","Fbxo17"
"1120","Fbxo21"
"1121","Fbxo24"
"1122","Fbxo31"
"1123","Fbxo32"
"1124","Fbxo44"
"1125","Fbxo48"
"1126","Fbxo5"
"1127","Fbxw10"
"1128","Fbxw4"
"1129","Fcho1"
"1130","Fcnb"
"1131","Fcrl1"
"1132","Fcrls"
"1133","Fcsk"
"1134","Fdft1"
"1135","Fdps"
"1136","Fdx1"
"1137","Fdxr"
"1138","Fech"
"1139","Fen1"
"1140","Fer1l5"
"1141","Fes"
"1142","Fgd1"
"1143","Fgd2"
"1144","Fgd4"
"1145","Fgf11"
"1146","Fgf13"
"1147","Fgfr1op"
"1148","Fgfrl1"
"1149","Fh1"
"1150","Fhit"
"1151","Fhl4"
"1152","Fhod1"
"1153","Fig4"
"1154","Fignl1"
"1155","Firre"
"1156","Fkbp14"
"1157","Fkbp3"
"1158","Fkbp4"
"1159","Flcn"
"1160","Fli1"
"1161","Flot2"
"1162","Flt3"
"1163","Flvcr1"
"1164","Fmc1"
"1165","Fmnl1"
"1166","Fmo5"
"1167","Fnbp1"
"1168","Fndc10"
"1169","Fnip2"
"1170","Fntb"
"1171","Foxd2"
"1172","Foxd2os"
"1173","Foxj2"
"1174","Foxk1"
"1175","Foxm1"
"1176","Foxn3"
"1177","Foxo1"
"1178","Foxo3"
"1179","Foxo4"
"1180","Foxred2"
"1181","Fpgs"
"1182","Frat1"
"1183","Frat2"
"1184","Frg2f1"
"1185","Frmd4b"
"1186","Frs3"
"1187","Fry"
"1188","Fsbp"
"1189","Fsd1l"
"1190","Fsip1"
"1191","Fstl3"
"1192","Fto"
"1193","Ftx"
"1194","Fuca2"
"1195","Fundc2"
"1196","Fuom"
"1197","Fut10"
"1198","Fut11"
"1199","Fut4"
"1200","Fut7"
"1201","Fuz"
"1202","Fv1"
"1203","Fxn"
"1204","Fxyd7"
"1205","Fzd2"
"1206","Fzd4"
"1207","Fzd8"
"1208","G0s2"
"1209","G2e3"
"1210","G6pc3"
"1211","Gab3"
"1212","Gabarapl1"
"1213","Gabpb2"
"1214","Galc"
"1215","Galk2"
"1216","Galm"
"1217","Galnt10"
"1218","Galnt11"
"1219","Galnt12"
"1220","Galnt2l"
"1221","Galnt4"
"1222","Galnt6os"
"1223","Galnt9"
"1224","Galr2"
"1225","Galt"
"1226","Gamt"
"1227","Gan"
"1228","Ganc"
"1229","Gapt"
"1230","Garem1"
"1231","Garnl3"
"1232","Gart"
"1233","Gas2"
"1234","Gas2l1"
"1235","Gas2l3"
"1236","Gas6"
"1237","Gask1b"
"1238","Gatc"
"1239","Gba2"
"1240","Gbx2"
"1241","Gcat"
"1242","Gcdh"
"1243","Gchfr"
"1244","Gclc"
"1245","Gcm2"
"1246","Gcnt1"
"1247","Gcsh"
"1248","Gdf15"
"1249","Gdf3"
"1250","Gdpd3"
"1251","Gdpd5"
"1252","Gemin8"
"1253","Gen1"
"1254","Gga2"
"1255","Ggact"
"1256","Ggn"
"1257","Ggt5"
"1258","Gid4"
"1259","Gigyf1"
"1260","Gin1"
"1261","Gins1"
"1262","Gins2"
"1263","Gins3"
"1264","Git2"
"1265","Gk5"
"1266","Glb1l"
"1267","Glb1l2"
"1268","Glce"
"1269","Gle1"
"1270","Glis2"
"1271","Glmn"
"1272","Glo1"
"1273","Glo1-ps"
"1274","Glrx5"
"1275","Gltp"
"1276","Glud1"
"1277","Glul"
"1278","Gm10101"
"1279","Gm10110"
"1280","Gm10123"
"1281","Gm10138"
"1282","Gm10154"
"1283","Gm10175"
"1284","Gm10182"
"1285","Gm10184"
"1286","Gm10209"
"1287","Gm10231"
"1288","Gm10259"
"1289","Gm10275"
"1290","Gm10282"
"1291","Gm10369"
"1292","Gm10392"
"1293","Gm10418"
"1294","Gm10420"
"1295","Gm10503"
"1296","Gm10575"
"1297","Gm10593"
"1298","Gm10605"
"1299","Gm10614"
"1300","Gm10638"
"1301","Gm10642"
"1302","Gm10644"
"1303","Gm10653"
"1304","Gm10654"
"1305","Gm10658"
"1306","Gm10676"
"1307","Gm10762"
"1308","Gm10825"
"1309","Gm11223"
"1310","Gm11249"
"1311","Gm11423"
"1312","Gm11464"
"1313","Gm11574"
"1314","Gm11599"
"1315","Gm11687"
"1316","Gm11699"
"1317","Gm11824"
"1318","Gm11847"
"1319","Gm11942"
"1320","Gm11944"
"1321","Gm12091"
"1322","Gm12184"
"1323","Gm12353"
"1324","Gm12366"
"1325","Gm12397"
"1326","Gm12522"
"1327","Gm12666"
"1328","Gm12856"
"1329","Gm12905"
"1330","Gm12919"
"1331","Gm12922"
"1332","Gm12940"
"1333","Gm12941"
"1334","Gm12961"
"1335","Gm12992"
"1336","Gm13091"
"1337","Gm13160"
"1338","Gm13167"
"1339","Gm13217"
"1340","Gm13232"
"1341","Gm13237"
"1342","Gm13316"
"1343","Gm13373"
"1344","Gm13375"
"1345","Gm13392"
"1346","Gm13493"
"1347","Gm13502"
"1348","Gm13562"
"1349","Gm13710"
"1350","Gm13778"
"1351","Gm14091"
"1352","Gm14117"
"1353","Gm14150"
"1354","Gm14168"
"1355","Gm14276"
"1356","Gm14296"
"1357","Gm14321"
"1358","Gm14322"
"1359","Gm14403"
"1360","Gm14440"
"1361","Gm14461"
"1362","Gm14493"
"1363","Gm14648"
"1364","Gm15156"
"1365","Gm15163"
"1366","Gm15246"
